Respondent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
T026,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T027,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree
T028,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T029,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree
T030,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree
T031,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
T032,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T033,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree
T034,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T035,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
T036,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree
T037,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
T038,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree
T039,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree
T040,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T041,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T042,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree
T043,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Disagree
T044,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T045,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree
T046,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
T047,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T048,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
T049,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T050,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T051,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T052,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
T053,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree
T054,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree
T055,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree
T056,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree
T057,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree
T058,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree
T059,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree
T060,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree
T061,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree
T062,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree
T063,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree
T064,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree
T065,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree
T066,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree
T067,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree
T068,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree
T069,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
T070,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree
T071,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
T072,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree
T073,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T074,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree
T075,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T076,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree
T077,Somewhat Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree
T078,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Agree,Disagree
T079,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
T080,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Agree
T081,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
T082,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree
T083,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Disagree
T084,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
T085,Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree
T086,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Agree
T087,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree
T088,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree
T089,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree
T090,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree
T091,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree
T092,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
T093,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
T094,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
T095,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree
T096,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T097,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree
T098,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Agree,Agree
T099,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree
T100,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree
T101,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
T102,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree
T103,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree
T104,Disagree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Strongly Disagree
T105,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
T106,Disagree,Disagree,Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree
T107,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree
T108,Disagree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
T109,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree
T110,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
T111,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree
T112,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
T113,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree
T114,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree
T115,Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
T116,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
T117,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree
T118,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
T119,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree
T120,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree
