Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Somewhat Agree
Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree
Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree
Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Disagree
Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Disagree
Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree
Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree
Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree
Disagree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Somewhat Agree
Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree
Disagree,Disagree,Agree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
Strongly Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree
Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree
Disagree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree
Disagree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Strongly Disagree
Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree
Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree
Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Somewhat Agree
Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Disagree
Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Disagree
Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree
Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Somewhat Agree
Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Agree,Strongly Disagree
Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree
Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Agree
Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree
Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Agree
Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Agree,Agree
Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree
Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree
Strongly Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree
Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree
Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree
Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Disagree
Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree
Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree
Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Agree
Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Agree
Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree
Strongly Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree
Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree
Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree
Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Agree
Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Agree,Agree
Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree
Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree
Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Agree
Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree
Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Disagree
Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Agree,Disagree
Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
Somewhat Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree
Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Agree
Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Somewhat Agree
Strongly Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree
Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Strongly Disagree
Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Strongly Disagree,Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree
Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree
