Respondent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
T051,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
T052,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree
T053,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
T054,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T055,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Strongly Agree
T056,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
T057,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree
T058,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree
T059,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T060,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree
T061,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Disagree
T062,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Disagree
T063,Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Disagree
T064,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Disagree
T065,Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree
T066,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T067,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree
T068,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T069,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree
T070,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T071,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
T072,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Somewhat Agree
T073,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T074,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree
T075,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T076,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T077,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Agree
T078,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree
T079,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T080,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
T081,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T082,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree
T083,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Disagree
T084,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T085,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
T086,Strongly Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Agree,Disagree
T087,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree
T088,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree
T089,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Agree,Somewhat Agree
T090,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T091,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree
T092,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree
T093,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree
T094,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
T095,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
T096,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T097,Somewhat Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Somewhat Agree
T098,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree
T099,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree
T100,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree
T101,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree
T102,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree
T103,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
T104,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree
T105,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
T106,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree
T107,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree
T108,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree
T109,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T110,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T111,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Disagree
T112,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree
T113,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree
T114,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree
T115,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Agree,Agree
T116,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
T117,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree
T118,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T119,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
T120,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
